Year,Domestic_Tourists_Million,International_Tourists_Million,Total_Tourists_Million,Foreign_Exchange_Earnings_USD_Billion,Top_States_Domestic,Top_States_International
2018,1853.8,17.4,1871.2,28.6,"Uttar Pradesh, Tamil Nadu, Andhra Pradesh","Delhi, Maharashtra, Tamil Nadu"
2019,2322.0,17.9,2339.9,30.1,"Uttar Pradesh, Tamil Nadu, Andhra Pradesh","Delhi, Maharashtra, Tamil Nadu"
2020,610.2,6.3,616.5,5.4,"Uttar Pradesh, Tamil Nadu, Andhra Pradesh","Delhi, Maharashtra, Tamil Nadu"
2021,677.6,7.0,684.6,6.3,"Uttar Pradesh, Tamil Nadu, Andhra Pradesh","Delhi, Maharashtra, Tamil Nadu"
2022,1731.0,14.3,1745.3,11.1,"Uttar Pradesh, Tamil Nadu, Andhra Pradesh","Delhi, Maharashtra, Tamil Nadu"
2023,2510.0,18.9,2528.9,28.1,"Uttar Pradesh, Tamil Nadu, Andhra Pradesh","Delhi, Maharashtra, Tamil Nadu"
2024,2650.0,20.5,2670.5,30.5,"Uttar Pradesh, Tamil Nadu, Andhra Pradesh","Delhi, Maharashtra, Tamil Nadu"
2025,2790.0,22.2,2812.2,33.0,"Uttar Pradesh, Tamil Nadu, Andhra Pradesh","Delhi, Maharashtra, Tamil Nadu"
